,User country,Nr. reviews,Nr. hotel reviews,Helpful votes,Score,Period of stay,Traveler type,Pool,Gym,Tennis court,Spa,Casino,Free internet,Hotel name,Hotel stars,Nr. rooms,Member years,Review month,Review weekday
0,46,11,4,13,5,3,3,0,1,0,0,1,1,2,0,3773,9,4,4
1,46,119,21,75,3,3,0,0,1,0,0,1,1,2,0,3773,3,4,0
2,46,36,9,25,5,1,2,0,1,0,0,1,1,2,0,3773,2,3,2
3,45,14,7,14,4,1,3,0,1,0,0,1,1,2,0,3773,6,3,0
4,3,5,5,2,4,1,4,0,1,0,0,1,1,2,0,3773,7,7,5
5,3,31,8,27,3,1,1,0,1,0,0,1,1,2,0,3773,2,7,5
6,45,45,12,46,4,1,1,0,1,0,0,1,1,2,0,3773,4,0,0
7,46,2,1,4,4,1,2,0,1,0,0,1,1,2,0,3773,0,0,5
8,17,24,3,8,4,1,3,0,1,0,0,1,1,2,0,3773,3,8,2
9,3,12,7,11,3,1,2,0,1,0,0,1,1,2,0,3773,5,8,5
10,46,102,24,58,2,2,2,0,1,0,0,1,1,2,0,3773,9,6,0
11,0,20,9,24,3,2,3,0,1,0,0,1,1,2,0,3773,4,6,2
12,46,7,6,9,2,2,3,0,1,0,0,1,1,2,0,3773,1,5,6
13,46,22,5,13,3,2,3,0,1,0,0,1,1,2,0,3773,1,5,4
14,45,3,3,0,3,2,3,0,1,0,0,1,1,2,0,3773,1,1,3
15,31,146,17,33,4,2,2,0,1,0,0,1,1,2,0,3773,2,1,2
16,3,8,8,9,1,0,2,0,1,0,0,1,1,2,0,3773,4,11,6
17,46,9,3,1,4,0,2,0,1,0,0,1,1,2,0,3773,2,11,2
18,3,41,9,19,3,0,1,0,1,0,0,1,1,2,0,3773,2,10,5
19,46,8,7,26,2,0,1,0,1,0,0,1,1,2,0,3773,10,10,1
20,45,10,5,2,4,0,1,0,1,0,0,1,1,2,0,3773,7,9,2
21,31,4,3,3,1,0,1,0,1,0,0,1,1,2,0,3773,3,9,1
22,45,18,7,19,4,3,2,0,1,0,0,1,1,2,0,3773,0,2,2
23,46,4,4,3,2,3,1,0,1,0,0,1,1,2,0,3773,5,2,3
24,20,29,11,15,4,3,1,1,1,0,1,1,1,4,0,3981,3,4,1
25,46,114,42,52,4,3,0,1,1,0,1,1,1,4,0,3981,11,4,2
26,3,30,12,17,5,3,1,1,1,0,1,1,1,4,0,3981,8,3,0
27,45,87,18,36,3,3,0,1,1,0,1,1,1,4,0,3981,3,3,4
28,46,26,10,28,5,1,4,1,1,0,1,1,1,4,0,3981,1,7,6
29,20,8,7,9,5,1,1,1,1,0,1,1,1,4,0,3981,8,7,6
30,3,11,8,13,5,1,1,1,1,0,1,1,1,4,0,3981,7,0,0
31,0,4,3,2,3,1,1,1,1,0,1,1,1,4,0,3981,0,0,0
32,3,56,8,7,3,1,4,1,1,0,1,1,1,4,0,3981,1,8,5
33,9,13,12,8,3,1,3,1,1,0,1,1,1,4,0,3981,4,8,6
34,0,58,9,15,4,2,1,1,1,0,1,1,1,4,0,3981,0,6,2
35,10,20,7,4,3,2,1,1,1,0,1,1,1,4,0,3981,6,6,2
